"wealth","neurotizismus","color","label"
8.04583116667345,4.22425817069598,"yellow",NA
8.44220007420518,4.4050321765244,"yellow",NA
8.79892484564334,4.40619475475978,"yellow",NA
8.12189925997518,4.39717116055544,"yellow",NA
8.56094798375852,4.21991584380157,"yellow",NA
8.20653138961643,4.37723757931963,"yellow",NA
8.12753165024333,4.31461056577973,"yellow",NA
8.75330786430277,4.35509120067582,"yellow",NA
8.8950453591533,4.0003123866627,"yellow",NA
8.37446277588606,4.23765828704927,"yellow",NA
8.66511519462802,4.11005944258068,"yellow",NA
8.09484066092409,4.18990826886147,"yellow",NA
8.38396963779815,4.30638550163712,"yellow",NA
8.27438364457339,4.17589895462152,"yellow",NA
8.81464003887959,4.0555677121738,"yellow",NA
6.86273256037384,2.89982497040182,"green",NA
8.36491540633142,2.24608773435466,"green",NA
7.2269307654351,2.04205953353085,"green",NA
8.64905221201479,2.3279207192827,"green",NA
8.82140185288154,2.95450364914723,"green",NA
6.1366694981698,2.88953931606375,"green",NA
7.58431646414101,2.6928034061566,"green",NA
8.67725713318214,2.6405068137683,"green",NA
7.65430504339747,2.9942697766237,"green",NA
7.36984420591034,2.65570579911582,"green",NA
8.87050003604963,2.70853046816774,"green",NA
7.36000246857293,2.54406602471136,"green",NA
8.0327119063586,2.59414202044718,"green",NA
7.71790020586923,2.28915973729454,"green",NA
6.30877404799685,2.14711364731193,"green",NA
7.48151211626828,2.03713200425263,"green",NA
7.45114952255972,2.08876380380476,"green",NA
7.34535263921134,2.0886076219962,"green",NA
7.39773370884359,2.0800806356757,"green",NA
7.01230684225447,2.03896450207103,"green",NA
7.23889798554592,2.03637315205531,"green",NA
7.37922976876143,2.05427647889592,"green",NA
7.10820396791678,2.09853286554804,"green","L"
7.15909050381742,2.06053480166942,"green",NA
7.11581289267633,2.17298726591514,"green",NA
5.1,3.5,"red",NA
4.9,3,"red",NA
4.7,3.2,"red",NA
4.6,3.1,"red",NA
5,3.6,"red",NA
5.4,3.9,"red",NA
4.6,3.4,"red",NA
5,3.4,"red",NA
4.4,2.9,"red",NA
4.9,3.1,"red",NA
5.4,3.7,"red",NA
4.8,3.4,"red",NA
4.8,3,"red",NA
4.3,3,"red",NA
5.8,4,"red",NA
5.7,4.4,"red","L"
5.4,3.9,"red",NA
5.1,3.5,"red",NA
5.7,3.8,"red",NA
5.1,3.8,"red",NA
5.4,3.4,"red",NA
5.1,3.7,"red",NA
4.6,3.6,"red",NA
5.1,3.3,"red",NA
4.8,3.4,"red",NA
5,3,"red",NA
5,3.4,"red",NA
5.2,3.5,"red",NA
5.2,3.4,"red",NA
4.7,3.2,"red",NA
4.8,3.1,"red",NA
5.4,3.4,"red",NA
5.2,4.1,"red",NA
5.5,4.2,"red",NA
4.9,3.1,"red",NA
5,3.2,"red",NA
5.5,3.5,"red",NA
4.9,3.6,"red",NA
4.4,3,"red",NA
5.1,3.4,"red",NA
5,3.5,"red",NA
4.5,2.3,"red",NA
4.4,3.2,"red",NA
5,3.5,"red",NA
5.1,3.8,"red",NA
4.8,3,"red",NA
5.1,3.8,"red",NA
4.6,3.2,"red",NA
5.3,3.7,"red",NA
5,3.3,"red",NA
7,3.2,"blue",NA
6.4,3.2,"blue",NA
6.9,3.1,"blue",NA
5.5,2.3,"blue",NA
6.5,2.8,"blue",NA
5.7,2.8,"blue",NA
6.3,3.3,"blue",NA
4.9,2.4,"blue",NA
6.6,2.9,"blue",NA
5.2,2.7,"blue",NA
5,2,"blue","L"
5.9,3,"blue",NA
6,2.2,"blue",NA
6.1,2.9,"blue",NA
5.6,2.9,"blue",NA
6.7,3.1,"blue",NA
5.6,3,"blue",NA
5.8,2.7,"blue",NA
6.2,2.2,"blue",NA
5.6,2.5,"blue",NA
5.9,3.2,"blue",NA
6.1,2.8,"blue",NA
6.3,2.5,"blue",NA
6.1,2.8,"blue",NA
6.4,2.9,"blue",NA
6.6,3,"blue",NA
6.8,2.8,"blue",NA
6.7,3,"blue",NA
6,2.9,"blue",NA
5.7,2.6,"blue",NA
5.5,2.4,"blue",NA
5.5,2.4,"blue",NA
5.8,2.7,"blue",NA
6,2.7,"blue",NA
5.4,3,"blue",NA
6,3.4,"blue",NA
6.7,3.1,"blue",NA
6.3,2.3,"blue",NA
5.6,3,"blue",NA
5.5,2.5,"blue",NA
5.5,2.6,"blue",NA
6.1,3,"blue",NA
5.8,2.6,"blue",NA
5,2.3,"blue",NA
5.6,2.7,"blue",NA
5.7,3,"blue",NA
5.7,2.9,"blue",NA
6.2,2.9,"blue",NA
5.1,2.5,"blue",NA
5.7,2.8,"blue",NA
